year;film;detail_url;producer(s);production_company(s);wiki_url;winner;production_company;release_dates;running_time;budget;cinematography;country;directed_by;distributed_by;edited_by;language;music_by;produced_by;screenplay_by;starring;story_by;title;written_by;id_json;based_on;box_office;narrated_by;production_companies
1980  (53rd);Tess;http://oscars.yipitdata.com/films/Tess_(film);Claude Berri , Timothy Burrill;Renn Productions, Timothy Burrill Productions;http://en.wikipedia.org/wiki/Tess_(film);False; Renn Productions Timothy Burrill Productions SFP ;   31 October 1979 ( 1979-10-31 )  (France)  12 December 1980 ( 1980-12-12 )  (USA)  9 April 1981 ( 1981-04-09 )  (UK)     ;186 min;$12 million (est.);Ghislain Cloquet  Geoffrey Unsworth;France United Kingdom;Roman Polanski;Columbia Pictures;Alastair McIntyre Tom Priestly;English;Philippe Sarde;Claude Berri;;Nastassja Kinski  Peter Firth  Leigh Lawson;;Tess;Gerard Brach  John Brownjohn Roman Polanski;324;Tess of the d'Urbervilles  by Thomas Hardy;$20.1 million;;
1981  (54th);Chariots of Fire;http://oscars.yipitdata.com/films/Chariots_of_Fire;David Puttnam;Warner Bros., Enigma Film Productions;http://en.wikipedia.org/wiki/Chariots_of_Fire;True; Allied Stars Ltd  Goldcrest Films Enigma Productions  The Ladd Company ;   30 March 1981 ( 1981-03-30 )  (Royal Command Film Performance)       ;124 minutes;£3 million [ 1 ];David Watkin;United Kingdom;Hugh Hudson;Warner Bros.  (USA & Canada)  20th Century Fox  (International);Terry Rawlings;English;Vangelis;David Puttnam;;   Ben Cross  Ian Charleson  Nigel Havers  Cheryl Campbell  Alice Krige  Lindsay Anderson  Dennis Christopher  Nigel Davenport  Brad Davis  Peter Egan  Sir John Gielgud  Ian Holm  Patrick Magee   ;;Chariots of Fire;Colin Welland;325;;$58,972,904 (U.S.) [ 2 ];;
1981  (54th);Atlantic City;http://oscars.yipitdata.com/films/Atlantic_City_(1980_film);Denis Héroux;Paramount, Cine-Neighbor, Selta Films;http://en.wikipedia.org/wiki/Atlantic_City_(1980_film);False; Selta Films ;   September 3, 1980 ( 1980-09-03 )  (France)  December 19, 1980 ( 1980-12-19 )  (Canada)      ;104 minutes;$7.2 million;Richard Ciupka;Canada France;Louis Malle;Paramount Pictures;Suzanne Baron;English French;Michel Legrand;Denis Héroux  John Kemeny;;Burt Lancaster  Susan Sarandon  Kate Reid  Robert Joy  Hollis McLaren  Michel Piccoli  Al Waxman;;Atlantic City;John Guare;326;;$12,729,675 [ 1 ];;
1981  (54th);On Golden Pond;http://oscars.yipitdata.com/films/On_Golden_Pond_(1981_film);Bruce Gilbert;ITC , Universal;http://en.wikipedia.org/wiki/On_Golden_Pond_(1981_film);False; ITC Entertainment ;   December 4, 1981 ( 1981-12-04 )       ;109 minutes;$15 million [ 1 ];Billy Williams;United States;Mark Rydell;Universal Pictures;Robert L. Wolfe;English;Dave Grusin;Bruce Gilbert;;   Katharine Hepburn  Henry Fonda  Jane Fonda  Doug McKeon  Dabney Coleman  William Lanteau   ;;On Golden Pond;Ernest Thompson;327;On Golden Pond  by Ernest Thompson;$119.2 million [ 2 ];;
1981  (54th);Raiders of the Lost Ark;http://oscars.yipitdata.com/films/Raiders_of_the_Lost_Ark;Frank Marshall;Lucasfilm, Paramount;http://en.wikipedia.org/wiki/Raiders_of_the_Lost_Ark;False; Lucasfilm ;   June 12, 1981 ( 1981 -06-12 )       ;115 minutes;$18 million [ 1 ];Douglas Slocombe;United States;Steven Spielberg;Paramount Pictures;Michael Kahn;English;John Williams;Frank Marshall;Lawrence Kasdan;   Harrison Ford  Karen Allen  Paul Freeman  Ronald Lacey  John Rhys-Davies  Denholm Elliott   ;   George Lucas  Philip Kaufman   ;Raiders of the Lost Ark;;328;;$389.9 million [ 1 ];;
1981  (54th);Reds;http://oscars.yipitdata.com/films/Reds_(film);Warren Beatty;Paramount;http://en.wikipedia.org/wiki/Reds_(film);False; Barclays Mercantile Industrial Finance JRS Productions ;   December 4, 1981 ( 1981-12-04 )       ;194 minutes;$32 million;Vittorio Storaro;United States;Warren Beatty;Paramount Pictures;Dede Allen  Craig McKay;English Russian German;Stephen Sondheim  Dave Grusin;Warren Beatty;Warren Beatty  Trevor Griffiths;   Warren Beatty  Diane Keaton  Edward Herrmann  Jerzy Kosinski  Jack Nicholson  Paul Sorvino  Maureen Stapleton   ;;Reds;;329;Ten Days that Shook the World  by John Reed;$50 million [ 1 ];;
1982  (55th);Gandhi;http://oscars.yipitdata.com/films/Gandhi_(film);Richard Attenborough;Columbia;http://en.wikipedia.org/wiki/Gandhi_(film);True;;   30 November 1982 ( 1982-11-30 )  ( New Delhi )  3 December 1982 ( 1982-12-03 )  (United Kingdom)  8 December 1982 ( 1982-12-08 )  (United States)     ;188 minutes [ 1 ];$22 million [ 3 ];   Billy Williams  Ronnie Taylor   ;   United Kingdom [ 2 ]  India [ 2 ]  United States [ 2 ]   ;Richard Attenborough;Columbia Pictures;John Bloom;English;   Ravi Shankar  George Fenton   ;Richard Attenborough;;   Candice Bergen  Edward Fox  John Gielgud  Trevor Howard  John Mills  Martin Sheen  Ben Kingsley   ;;Gandhi;John Briley;330;;$127.8 million [ 3 ];;    Goldcrest Films  International Film Investors  National Film Development Corporation of India  Indo-British Films    
1982  (55th);E.T. the Extra-Terrestrial;http://oscars.yipitdata.com/films/E.T._the_Extra-Terrestrial;Steven Spielberg , Kathleen Kennedy [M];Universal, Amblin Entertainment;http://en.wikipedia.org/wiki/E.T._the_Extra-Terrestrial;False; Amblin Entertainment ;   May 26, 1982 ( 1982-05-26 )  ( Cannes )  June 11, 1982 ( 1982-06-11 )  (United States)      ;114 minutes;$10.500.000 [ 2 ];Allen Daviau;United States;Steven Spielberg;Universal Pictures;Carol Littleton;English;John Williams;   Steven Spielberg  Kathleen Kennedy   ;;   Dee Wallace  Peter Coyote  Henry Thomas   ;;E.T. the Extra-Terrestrial;Melissa Mathison;331;;$792.910.554 [ 2 ];;
1982  (55th);Missing;http://oscars.yipitdata.com/films/Missing_(film);Edward Lewis, Mildred Lewis;Universal;http://en.wikipedia.org/wiki/Missing_(film);False; PolyGram Filmed Entertainment ;February 12, 1982 ( 1982-02-12 );122 minutes;$5 million [ 1 ];Ricardo Aronovich;United States;Costa-Gavras;Universal Pictures;Françoise Bonnot;English Spanish;Vangelis;Edward Lewis Mildred Lewis;Costa-Gavras  Donald E. Stewart;   Jack Lemmon  Sissy Spacek  Melanie Mayron  John Shea   ;;Missing;;332;Missing  by Thomas Hauser;$16,000,000 [ 2 ];;
1982  (55th);Tootsie;http://oscars.yipitdata.com/films/Tootsie;Sydney Pollack , Dick Richards;Columbia;http://en.wikipedia.org/wiki/Tootsie;False; Mirage Enterprises ;   December 17, 1982 ( 1982-12-17 )       ;116 minutes;$21 million [ 1 ];Owen Roizman;United States;Sydney Pollack;Columbia Pictures;Fredric Steinkamp  William Steinkamp;English;Dave Grusin;Charles Evans Sydney Pollack  Dick Richards Ronald L. Schwary;Larry Gelbart  Murray Schisgal  Barry Levinson (uncredited)  Elaine May (uncredited);Dustin Hoffman  Jessica Lange  Teri Garr  Dabney Coleman  Charles Durning;Don McGuire  Larry Gelbart;Tootsie;;333;;$177.2 million [ 1 ];;
1982  (55th);The Verdict;http://oscars.yipitdata.com/films/The_Verdict;Richard D. Zanuck , David Brown;20th Century Fox;http://en.wikipedia.org/wiki/The_Verdict;False;;   December 8, 1982 ( 1982-12-08 )       ;129 minutes;$16 million [ 1 ] [ 2 ];Andrzej Bartkowiak;United States;Sidney Lumet;20th Century Fox;Peter C. Frank;English;Johnny Mandel;David Brown  Richard D. Zanuck;David Mamet;   Paul Newman  Charlotte Rampling  Jack Warden  James Mason  Milo O'Shea   ;;The Verdict;;334;The Verdict  by Barry Reed;$53,977,250 [ 3 ];;
1983  (56th);Terms of Endearment;http://oscars.yipitdata.com/films/Terms_of_Endearment;James L. Brooks;Paramount;http://en.wikipedia.org/wiki/Terms_of_Endearment;True;;   November 23, 1983 ( 1983-11-23 )       (limited)    December 9, 1983 ( 1983-12-09 )       (wide);131 minutes;$8 million;Andrzej Bartkowiak;United States;James L. Brooks;Paramount Pictures;Richard Marks;English;Michael Gore;James L. Brooks;James L. Brooks;   Shirley MacLaine  Debra Winger  Jack Nicholson  Danny DeVito  John Lithgow   ;;Terms of Endearment;;335;Terms of Endearment  by Larry McMurtry;$108.4 million;;
1983  (56th);The Big Chill;http://oscars.yipitdata.com/films/The_Big_Chill_(film);Michael Shamberg;Columbia;http://en.wikipedia.org/wiki/The_Big_Chill_(film);False; Carson Productions ;September 28, 1983 ( 1983-09-28 );105 minutes;;John Bailey;United States;Lawrence Kasdan;Columbia Pictures;Carol Littleton;English;Meg Kasdan;Michael Shamberg;;   Tom Berenger  Glenn Close  Jeff Goldblum  William Hurt  Kevin Kline  Mary Kay Place  Meg Tilly  JoBeth Williams   ;;The Big Chill;Lawrence Kasdan Barbara Benedek;336;;$56,399,659;;
1983  (56th);The Dresser;http://oscars.yipitdata.com/films/The_Dresser;Peter Yates;Columbia, Goldcrest, World Film Services;http://en.wikipedia.org/wiki/The_Dresser;False;;   9 December 1983 ( 1983-12-09 )       ;118 minutes;;Kelvin Pike;United Kingdom;Peter Yates;Columbia Pictures;Ray Lovejoy;English;James Horner;Peter Yates;;   Albert Finney  Tom Courtenay  Edward Fox  Zena Walker  Eileen Atkins  Michael Gough  Cathryn Harrison   ;;The Dresser;Ronald Harwood;337;;$5,310,748;;
1983  (56th);The Right Stuff;http://oscars.yipitdata.com/films/The_Right_Stuff_(film);Irwin Winkler , Robert Chartoff;Warner Bros., The Ladd Company;http://en.wikipedia.org/wiki/The_Right_Stuff_(film);False; The Ladd Company ;   October 21, 1983 ( 1983-10-21 )  (Limited)  February 17, 1984 ( 1984-02-17 )  (Wide)      ;192 minutes [ 1 ];$27 million;Caleb Deschanel;United States;Philip Kaufman;Warner Bros.;Glenn Farr  Lisa Fruchtman  Stephen A. Rotter  Douglas Stewart Tom Rolf;English Russian;Bill Conti;Irwin Winkler  Robert Chartoff;Philip Kaufman;   Charles Frank  Scott Glenn  Ed Harris  Lance Henriksen  Scott Paulin  Dennis Quaid  Sam Shepard  Fred Ward  Kim Stanley  Barbara Hershey  Veronica Cartwright  Pamela Reed   ;;The Right Stuff;;338;The Right Stuff by Tom Wolfe;$21.1 million [ 2 ];Levon Helm;
1983  (56th);Tender Mercies;http://oscars.yipitdata.com/films/Tender_Mercies;Philip S. Hobel;Universal, EMI;http://en.wikipedia.org/wiki/Tender_Mercies;False;    EMI Films  Antron Media Production    ;   March 4, 1983 ( 1983-03-04 )       (limited);92 minutes;$4.5 million;Russell Boyd;United States;Bruce Beresford;Universal Pictures;William Anderson;English;George Dreyfus;Philip S. Hobel;;   Robert Duvall  Tess Harper  Betty Buckley  Wilford Brimley  Ellen Barkin   ;;Tender Mercies;Horton Foote;339;;$8.44 million;;
1984  (57th);Amadeus;http://oscars.yipitdata.com/films/Amadeus_(film);Saul Zaentz;Orion;http://en.wikipedia.org/wiki/Amadeus_(film);True; The Saul Zaentz Company ;   September 6, 1984 ( 1984-09-06 )  (Los Angeles)  September 19, 1984 ( 1984-09-19 )  (United States)      ;161 minutes [ 1 ];$18 million [ 2 ];Miroslav Ondříček;United States;Miloš Forman;Orion Pictures;   Nena Danevic  Michael Chandler   ;English;;Saul Zaentz;Peter Shaffer;   F. Murray Abraham  Tom Hulce  Elizabeth Berridge  Simon Callow  Roy Dotrice  Christine Ebersole  Jeffrey Jones  Charles Kay   ;;Amadeus;;340;Amadeus  by Peter Shaffer;$56 million (North America) [ 2 ];;
1984  (57th);The Killing Fields;http://oscars.yipitdata.com/films/The_Killing_Fields_(film);David Puttnam;Warner Bros., Enigma Film Productions;http://en.wikipedia.org/wiki/The_Killing_Fields_(film);False; Goldcrest International Film Investors  Enigma Productions ;   2 November 1984 ( 1984-11-02 )       ;141 minutes;$14.4 million [ 1 ];Chris Menges;United Kingdom;Roland Joffé;Warner Bros. (US) Columbia-EMI-Warner (UK);Jim Clark;English French Khmer;Mike Oldfield;David Puttnam  Iain Smith;Bruce Robinson;   Sam Waterston  Dr. Haing S. Ngor  Craig T. Nelson  John Malkovich  Athol Fugard   ;;The Killing Fields;;341;The Death and Life of Dith Pran  by Sydney Schanberg;$34,700,291;;
1984  (57th);A Passage to India;http://oscars.yipitdata.com/films/A_Passage_to_India_(film);John Brabourne , Richard Goodwin;Columbia, G.W. Films, Thorn EMI;http://en.wikipedia.org/wiki/A_Passage_to_India_(film);False; Thorn EMI  HBO ;   14 December 1984 ( 1984-12-14 )       ;163 minutes;£17 million [ 1 ];Ernest Day;United Kingdom United States;David Lean;Thorn EMI Screen Entertainment (UK)  Columbia Pictures (US);David Lean;English;Maurice Jarre;John Brabourne Richard B. Goodwin;David Lean;   Peggy Ashcroft  Judy Davis  James Fox  Alec Guinness  Nigel Havers  Victor Banerjee   ;;A Passage to India;;342;A Passage to India 1924 novel by E. M. Forster;$27.2 million (US) [ 2 ];;
1984  (57th);Places in the Heart;http://oscars.yipitdata.com/films/Places_in_the_Heart;Arlene Donovan;Tri-Star;http://en.wikipedia.org/wiki/Places_in_the_Heart;False;;September 21, 1984;111 minutes;$9.5 million;Néstor Almendros;United States;Robert Benton;TriStar Pictures;Carol Littleton;English;John Kander;Arlene Donovan;;   Sally Field  Lindsay Crouse  Ed Harris  Amy Madigan  John Malkovich  Danny Glover   ;;Places in the Heart;Robert Benton;343;;$34,901,614;;
1984  (57th);A Soldier's Story;http://oscars.yipitdata.com/films/A_Soldier%2527s_Story;Norman Jewison , Ronald L. Schwary, Patrick Palmer;Columbia;http://en.wikipedia.org/wiki/A_Soldier%27s_Story;False; Columbia Pictures ;   September 13, 1984 ( 1984-09-13 )       ;101 minutes;;Russell Boyd;United States;Norman Jewison;Columbia Pictures;Caroline Biggerstaff  Mark Warner;English;Herbie Hancock;Norman Jewison;;   Howard E. Rollins, Jr.  Adolph Caesar   ;;A Soldier's Story;Charles Fuller;344;;$21,821,347 [ 1 ];;
1985  (58th);Out of Africa;http://oscars.yipitdata.com/films/Out_of_Africa_(film);Sydney Pollack;Universal, Mirage Enterprises;http://en.wikipedia.org/wiki/Out_of_Africa_(film);True; Mirage Enterprises ;   December 18, 1985 ( 1985-12-18 )       ;161 minutes;$28 million [ 1 ];David Watkin;United States;Sydney Pollack;Universal Pictures;Fredric Steinkamp  William Steinkamp  Pembroke Herring  Sheldon Kahn;English Swahili;John Barry;Sydney Pollack  Kim Jorgensen;Kurt Luedtke;   Robert Redford  Meryl Streep  Klaus Maria Brandauer   ;;Out of Africa;;345;Out of Africa  by Isak Dinesen  Isak Dinesen: The Life of a Story Teller  by Judith Thurman  Silence Will Speak  by Errol Trzebinski;$128.5 million [ 2 ];;
1985  (58th);The Color Purple;http://oscars.yipitdata.com/films/The_Color_Purple_(film);Steven Spielberg , Kathleen Kennedy , Frank Marshall , Quincy Jones;Warner Bros., Amblin Entertainment;http://en.wikipedia.org/wiki/The_Color_Purple_(film);False; Amblin Entertainment ;   December 18, 1985 ( 1985-12-18 )       ;154 minutes;$15 million;Allen Daviau;United States;Steven Spielberg;Warner Bros. Pictures;Michael Kahn;English;Quincy Jones;Steven Spielberg  Kathleen Kennedy  Quincy Jones  Frank Marshall;Menno Meyjes;   Danny Glover  Adolph Caesar  Margaret Avery  Rae Dawn Chong  Whoopi Goldberg   ;;The Color Purple;;346;The Color Purple  by Alice Walker;$142 million;;
1985  (58th);Kiss of the Spider Woman;http://oscars.yipitdata.com/films/Kiss_of_the_Spider_Woman_(film);David Weisman;Island Alive, FilmDallas Pictures, HB Filmes;http://en.wikipedia.org/wiki/Kiss_of_the_Spider_Woman_(film);False;;   May 13, 1985 ( 1985-05-13 )  ( Cannes )  July 26, 1985 ( 1985-07-26 )      ;121 minutes [ 1 ];;Rodolfo Sánchez;Brazil United States;Héctor Babenco;Embrafilme  (Brazil) Island Alive FilmDallas Pictures (US);Mauro Alice;   English  French  Portuguese  German   ;Nando Cordeiro  John Neschling;Francisco Ramalho Jr.  David Weisman;Leonard Schrader;   William Hurt  Raúl Juliá  Sonia Braga  José Lewgoy  Milton Gonçalves  Denise Dumont   ;;Kiss of the Spider Woman;;347;Kiss of the Spider Woman  by Manuel Puig;$17,005,229 [ 2 ];;
1985  (58th);Prizzi's Honor;http://oscars.yipitdata.com/films/Prizzi%2527s_Honor;John Foreman;20th Century Fox, ABC Motion Pictures;http://en.wikipedia.org/wiki/Prizzi%27s_Honor;False; ABC Motion Pictures ;   June 13, 1985 ( 1985-06-13 )       ;130 minutes;$16 million [ 1 ];Andrzej Bartkowiak;United States;John Huston;20th Century Fox  (United States)  Producers Sales Organization  (non-United States);Kaja Fehr  Rudi Fehr;English;Alex North;John Foreman;;   Jack Nicholson  Kathleen Turner   ;;Prizzi's Honor;Richard Condon Janet Roach;348;;$26,657,534 (US) [ 2 ];;
1985  (58th);Witness;http://oscars.yipitdata.com/films/Witness_(1985_film);Edward S. Feldman;Paramount;http://en.wikipedia.org/wiki/Witness_(1985_film);False;;   February 8, 1985 ( 1985-02-08 )       ;112 minutes;$12 million;John Seale;United States;Peter Weir;Paramount Pictures;Thom Noble;English, German;Maurice Jarre;Edward S. Feldman;Earl W. Wallace William Kelley;   Harrison Ford   ;Pamela Wallace Earl W. Wallace William Kelley;Witness;;349;;$68.7 million (US/Can) [ 1 ];;
1986  (59th);Platoon;http://oscars.yipitdata.com/films/Platoon_(film);Arnold Kopelson;Orion, Hemdale;http://en.wikipedia.org/wiki/Platoon_(film);True; Hemdale Film Corporation ;   December 19, 1986 ( 1986-12-19 )       ;120 minutes [ 1 ];$6 million [ 2 ];Robert Richardson;United States;Oliver Stone;Orion Pictures;Claire Simpson;English;Georges Delerue;Arnold Kopelson;;   Tom Berenger  Willem Dafoe  Charlie Sheen   ;;Platoon;Oliver Stone;350;;$138.5 million (North America) [ 2 ];;
1986  (59th);Children of a Lesser God;http://oscars.yipitdata.com/films/Children_of_a_Lesser_God;Burt Sugarman , Patrick J. Palmer;Paramount;http://en.wikipedia.org/wiki/Children_of_a_Lesser_God;False;;   October 3, 1986 ( 1986-10-03 )       ;119 minutes;$2 million [ 1 ];John Seale;United States;Randa Haines;Paramount Pictures;Lisa Fruchtman;   English  American Sign Language   ;Michael Convertino;   Burt Sugarman  Patrick J. Palmer   ;;   Marlee Matlin  William Hurt  Piper Laurie  Philip Bosco   ;;Children of a Lesser God;   Hesper Anderson  Mark Medoff   ;351;Children of a Lesser God by Mark Medoff;$31,853,080 (North America);;
1986  (59th);Hannah and Her Sisters;http://oscars.yipitdata.com/films/Hannah_and_Her_Sisters;Robert Greenhut;Orion;http://en.wikipedia.org/wiki/Hannah_and_Her_Sisters;False;;   February 7, 1986 ( 1986-02-07 )       ;106 minutes;$6,400,000 (est.);Carlo Di Palma;United States;Woody Allen;Orion Pictures Corporation;Susan E. Morse;English;;Robert Greenhut;;   Woody Allen  Michael Caine  Mia Farrow  Carrie Fisher  Barbara Hershey  Lloyd Nolan  Maureen O'Sullivan  Daniel Stern  Max von Sydow  Dianne Wiest   ;;Hannah and Her Sisters;Woody Allen;352;;$59,000,000;;
1986  (59th);The Mission;http://oscars.yipitdata.com/films/The_Mission_(1986_film);Fernando Ghia , David Puttnam;Warner Bros., Enigma Film Productions, Goldcrest Films , Kingsmere;http://en.wikipedia.org/wiki/The_Mission_(1986_film);False;;   16 May 1986 ( 1986-05-16 )    ( Cannes )    31 October 1986 ( 1986-10-31 )   (United States);126 minutes;£16.5 million [ 1 ];Chris Menges;United Kingdom;Roland Joffé;Warner Bros.;Jim Clark;English;Ennio Morricone;Fernando Ghia  David Puttnam;;   Robert De Niro  Jeremy Irons   ;;The Mission;Robert Bolt;353;;$17.2 million(United States);;
1986  (59th);A Room with a View;http://oscars.yipitdata.com/films/A_Room_with_a_View_(1986_film);Ismail Merchant;Merchant Ivory;http://en.wikipedia.org/wiki/A_Room_with_a_View_(1986_film);False; Merchant Ivory Productions  Goldcrest Films  Film Four International ;   13 December 1985 ( 1985-12-13 )  ( RCFP )  11 April 1986 ( 1986-04-11 )  (UK)      ;117 minutes;£2.3 million [ 1 ];Tony Pierce-Roberts;United Kingdom;James Ivory;Curzon Film Distributors (UK);Humphrey Dixon;English;Richard Robbins (score)  Giacomo Puccini (sung by Kiri Te Kanawa );Ismail Merchant;Ruth Prawer Jhabvala;   Maggie Smith  Denholm Elliott  Judi Dench  Simon Callow  Helena Bonham Carter  Julian Sands  Daniel Day-Lewis  Fabia Drake  Patrick Godfrey  Rupert Graves  Joan Henley  Rosemary Leach   ;;A Room with a View;;354;A Room with a View  by E. M. Forster;$20,966,644 [ 2 ];;
